,YM,CATEGORY,QTY,PRICE,MAXTEMP,SALEDAY,HOLIDAY,,,,,,,,,,
1,200901,"스포츠,이온음료",622,1508,4,126753,12,,,,,,,,,,
2,200902,"스포츠,이온음료",660,1533,9,113399,8,,요약 출력,,,,,,,,
3,200903,"스포츠,이온음료",794,1554,12,129162,9,,,,,,,,,,
4,200904,"스포츠,이온음료",1119,1529,19,126277,8,,회귀분석 통계량,,,,,,,,
5,200905,"스포츠,이온음료",1524,1529,25,129584,12,,다중 상관계수,0.927968511,,,,,,,
6,200906,"스포츠,이온음료",1480,1488,27,123218,8,,결정계수,0.861125558,,,,,,,
7,200907,"스포츠,이온음료",1509,1490,28,131083,8,,조정된 결정계수,0.851025598,,,,,,,
8,200908,"스포츠,이온음료",1876,1490,29,130040,10,,표준 오차,330.1658459,,,,,,,
9,200909,"스포츠,이온음료",1534,1490,27,131989,8,,관측수,60,,,,,,,
10,200910,"스포츠,이온음료",1218,1490,22,136095,10,,,,,,,,,,
11,200911,"스포츠,이온음료",738,1490,12,136152,9,,분산 분석,,,,,,,,
12,200912,"스포츠,이온음료",686,1490,5,137391,9,,,자유도,제곱합,제곱 평균,F 비,유의한 F,,,
13,201001,"스포츠,이온음료",676,1488,2,141145,11,,회귀,4,37176725.27,9294181.316,85.26029869,6.52343E-23,,,
14,201002,"스포츠,이온음료",748,1519,7,128528,9,,잔차,55,5995521.717,109009.4858,,,,,
15,201003,"스포츠,이온음료",986,1490,10,145771,9,,계,59,43172246.98,,,,,,
16,201004,"스포츠,이온음료",1080,1447,15,130412,8,,,,,,,,,,
17,201005,"스포츠,이온음료",2537,1447,23,143681,12,,,계수,표준 오차,t 통계량,P-값,하위 95%,상위 95%,하위 95.0%,상위 95.0%
18,201006,"스포츠,이온음료",2050,1447,28,145035,8,,Y 절편,2328.17339,1476.968643,1.576318767,0.120687456,-631.7379138,5288.084693,-631.7379138,5288.084693
19,201007,"스포츠,이온음료",2218,1462,29,148561,9,,PRICE,-3.121894487,1.091148619,-2.861108407,0.005958134,-5.308605185,-0.93518379,-5.308605185,-0.93518379
