,YM,CATEGORY,ITEM_CNT,QTY,PRICE,MAXTEMP,SALEDAY,RAIN_DAY,HOLIDAY
1,200901,비타민음료,1,27,1300,4,126753,151,12
2,200902,비타민음료,2,29,1300,9,113399,3014,8
3,200903,비타민음료,2,67,1300,12,129162,1383,9
4,200904,비타민음료,2,60,1300,19,126277,3564,8
5,200905,비타민음료,2,74,1300,25,129584,9288,12
6,200906,비타민음료,2,84,1300,27,123218,9998,8
7,200907,비타민음료,2,61,1300,28,131083,17405,8
8,200908,비타민음료,2,63,1300,29,130040,7704,10
9,200909,비타민음료,2,56,1300,27,131989,4096,8
10,200910,비타민음료,2,50,1300,22,136095,2824,10
11,200911,비타민음료,2,31,1300,12,136152,3684,9
12,200912,비타민음료,6,42,1633,5,137391,216,9
13,201001,비타민음료,6,226,1633,2,141145,792,11
14,201002,비타민음료,6,185,1633,7,128528,4384,9
15,201003,비타민음료,6,229,1633,10,145771,2940,9
16,201004,비타민음료,7,326,1657,15,130412,5973,8
17,201005,비타민음료,7,445,1657,23,143681,8656,12
18,201006,비타민음료,5,438,1780,28,145035,6325,8
19,201007,비타민음료,8,387,1725,29,148561,14930,9
20,201008,비타민음료,8,599,1725,31,153056,30531,9
21,201009,비타민음료,8,728,1725,27,147804,23150,11
22,201010,비타민음료,8,916,1725,20,155952,1337,10
23,201011,비타민음료,8,687,1725,13,154482,0,8
24,201012,비타민음료,9,601,1744,5,161292,886,8
25,201101,비타민음료,9,581,1744,-1,163610,82,10
26,201102,비타민음료,9,691,1744,7,149737,5587,11
27,201103,비타민음료,9,452,1744,10,169838,919,9
28,201104,비타민음료,9,511,1744,17,167577,8244,9
29,201105,비타민음료,12,660,1758,23,176452,7345,10
30,201106,비타민음료,12,1088,1758,27,173664,25001,9
31,201107,비타민음료,11,992,1800,29,182676,43058,10
32,201108,비타민음료,11,1022,1800,29,186850,20554,9
33,201109,비타민음료,11,991,1800,26,184270,5373,10
34,201110,비타민음료,10,734,1830,20,194286,4146,11
35,201111,비타민음료,11,554,1836,16,191703,10027,8
36,201112,비타민음료,11,460,1836,5,201541,489,9
37,201201,비타민음료,11,481,1836,3,203133,362,11
38,201202,비타민음료,11,441,1836,5,186880,377,8
39,201203,비타민음료,11,545,1836,11,212945,6556,10
40,201204,비타민음료,11,659,1836,18,209151,17042,9
